year,wins,losses,win%,national_championship
2025,39,22,63.934,no
2024,36,30,54.545,no
2023,54,17,76.056,no
2022,42,24,63.636,no
2021,38,22,63.333,no
2020,16,1,94.118,no
2019,34,26,56.667,no
2018,49,21,70.0,no
2017,52,19,73.239,yes
2016,52,16,76.471,no
2015,52,18,74.286,no
2014,40,23,63.492,no
2013,29,30,49.153,no
2012,47,20,70.149,no
2011,53,19,73.611,no
2010,47,17,73.438,no
2009,42,22,65.625,no
2008,34,24,58.621,no
2007,29,30,49.153,no
2006,28,28,50.0,no
2005,48,23,67.606,no
2004,43,22,66.154,no
2003,37,21,63.793,no
2002,46,19,70.769,no
2001,35,27,56.452,no
2000,44,23,65.672,no
1999,31,25,55.357,no
1998,46,18,71.875,no
1997,40,24,62.5,no
1996,50,18,73.529,no
1995,32,24,57.143,no
1994,40,23,63.492,no
1993,33,25,56.897,no
1992,44,20,68.75,no
1991,51,21,70.833,no
1990,29,30,49.153,no
1989,44,22,66.667,no
1988,48,19,71.642,no
1987,32,24,57.143,no
1986,27,26,50.943,no
1985,43,18,70.492,no
1984,43,16,72.881,no
1983,38,14,73.077,no
1982,34,25,57.627,no
1981,42,17,71.186,no
1980,40,16,71.429,no
1979,40,20,66.667,no
1978,34,15,69.388,no
1977,39,18,68.421,no
1976,21,27,43.75,no
1975,23,25,47.917,no
1974,23,20,53.488,no
1973,23,21,52.273,no
1972,23,21,52.273,no
1971,19,26,42.222,no
1970,27,17,61.364,no
1969,28,16,63.636,no
1968,25,13,65.789,no
1967,28,8,77.778,no
1966,23,12,65.714,no
1965,20,13,60.606,no
1964,30,9,76.923,no
1963,25,10,71.429,no
1962,25,10,71.429,no
1961,19,9,67.857,no
1960,18,14,56.25,no
1959,13,8,61.905,no
1958,17,7,70.833,no
1957,13,11,54.167,no
1956,20,4,83.333,no
1955,8,12,40.0,no
1954,12,10,54.545,no
1953,13,7,65.0,no
1952,21,4,84.0,no
1951,16,9,64.0,no
1950,20,9,68.966,no
1949,17,13,56.667,no
1948,10,14,41.667,no
1947,14,15,48.276,no
1946,4,17,19.048,no
1945,2,9,18.182,no
1942,6,6,50.0,no
1941,8,7,53.333,no
1940,8,11,42.105,no
1939,11,8,57.895,no
1938,14,9,60.87,no
1937,10,7,58.824,no
1936,7,9,43.75,no
1935,7,13,35.0,no
1934,6,7,46.154,no
1933,11,2,84.615,no
1932,12,8,60.0,no
1931,11,10,52.381,no
1930,9,8,52.941,no
1929,4,9,30.769,no
1928,6,14,30.0,no
1927,8,14,36.364,no
1926,14,7,66.667,no
1925,3,6,33.333,no
1924,5,14,26.316,no
1923,10,9,52.632,no
1922,15,5,75.0,no
1921,4,10,28.571,no
1920,7,11,38.889,no
1919,7,5,58.333,no
1917,8,3,72.727,no
1916,9,14,39.13,no
1915,4,6,40.0,no
1914,2,8,20.0,no
1913,11,9,55.0,no
1912,9,4,69.231,no
