year,wins,losses,win%,national_championship
25-26,4.0,1.0,80.0,no
25-26,7.0,7.0,50.0,no
24-25,36.0,4.0,90.0,yes
24-25,2.0,7.0,22.222,no
23-24,24.0,12.0,66.667,no
23-24,5.0,10.0,33.333,no
22-23,16.0,17.0,48.485,no
22-23,2.0,5.0,28.571,no
21-22,20.0,14.0,58.824,no
21-22,5.0,5.0,50.0,no
20-21,5.0,6.0,45.455,no
20-21,15.0,10.0,60.0,no
19-20,19.0,12.0,61.29,no
18-19,20.0,16.0,55.556,no
17-18,21.0,13.0,61.765,no
16-17,27.0,9.0,75.0,no
15-16,21.0,15.0,58.333,no
14-15,16.0,17.0,48.485,no
13-14,36.0,3.0,92.308,no
12-13,29.0,8.0,78.378,no
11-12,26.0,11.0,70.27,no
10-11,29.0,8.0,78.378,no
09-10,21.0,13.0,61.765,no
08-09,25.0,11.0,69.444,no
07-08,24.0,12.0,66.667,no
06-07,35.0,5.0,87.5,yes
05-06,33.0,6.0,84.615,yes
04-05,24.0,8.0,75.0,no
03-04,20.0,11.0,64.516,no
02-03,25.0,8.0,75.758,no
01-02,22.0,9.0,70.968,no
00-01,24.0,7.0,77.419,no
99-00,29.0,8.0,78.378,no
98-99,22.0,9.0,70.968,no
97-98,14.0,15.0,48.276,no
96-97,13.0,17.0,43.333,no
95-96,12.0,16.0,42.857,no
94-95,17.0,13.0,56.667,no
93-94,29.0,8.0,78.378,no
92-93,16.0,12.0,57.143,no
91-92,19.0,14.0,57.576,no
90-91,11.0,17.0,39.286,no
89-90,7.0,21.0,25.0,no
88-89,21.0,13.0,61.765,no
85-86,19.0,14.0,57.576,no
84-85,18.0,12.0,60.0,no
83-84,16.0,13.0,55.172,no
82-83,13.0,18.0,41.935,no
81-82,5.0,22.0,18.519,no
80-81,12.0,16.0,42.857,no
79-80,7.0,21.0,25.0,no
78-79,8.0,19.0,29.63,no
77-78,15.0,12.0,55.556,no
76-77,17.0,9.0,65.385,no
75-76,12.0,14.0,46.154,no
74-75,12.0,16.0,42.857,no
73-74,15.0,11.0,57.692,no
72-73,11.0,15.0,42.308,no
71-72,10.0,15.0,40.0,no
70-71,11.0,15.0,42.308,no
69-70,9.0,17.0,34.615,no
68-69,18.0,9.0,66.667,no
67-68,15.0,10.0,60.0,no
66-67,21.0,4.0,84.0,no
65-66,16.0,10.0,61.538,no
64-65,18.0,7.0,72.0,no
63-64,12.0,10.0,54.545,no
62-63,12.0,14.0,46.154,no
61-62,12.0,11.0,52.174,no
60-61,15.0,11.0,57.692,no
59-60,6.0,16.0,27.273,no
58-59,8.0,15.0,34.783,no
57-58,12.0,9.0,57.143,no
56-57,14.0,10.0,58.333,no
55-56,11.0,12.0,47.826,no
54-55,12.0,10.0,54.545,no
53-54,7.0,15.0,31.818,no
52-53,13.0,6.0,68.421,no
51-52,15.0,9.0,62.5,no
50-51,11.0,12.0,47.826,no
49-50,9.0,14.0,39.13,no
48-49,11.0,16.0,40.741,no
47-48,15.0,10.0,60.0,no
46-47,17.0,9.0,65.385,no
45-46,7.0,14.0,33.333,no
44-45,7.0,12.0,36.842,no
42-43,8.0,7.0,53.333,no
41-42,8.0,9.0,47.059,no
40-41,15.0,9.0,62.5,no
39-40,13.0,9.0,59.091,no
38-39,9.0,6.0,60.0,no
37-38,11.0,9.0,55.0,no
36-37,5.0,13.0,27.778,no
35-36,5.0,10.0,33.333,no
34-35,8.0,7.0,53.333,no
33-34,11.0,7.0,61.111,no
32-33,9.0,5.0,64.286,no
31-32,8.0,12.0,40.0,no
30-31,10.0,9.0,52.632,no
29-30,10.0,4.0,71.429,no
28-29,7.0,13.0,35.0,no
27-28,5.0,16.0,23.81,no
26-27,6.0,20.0,23.077,no
