year,wins,losses,win_loss_pct,national_championship
2025-2026,4,8,33.333,no
2024-2025,8,5,61.538,no
2023-2024,5,7,41.667,no
2022-2023,6,7,46.154,no
2021-2022,6,7,46.154,no
2020-2021,8,4,66.667,no
2019-2020,11,2,84.615,no
2018-2019,10,3,76.923,no
2017-2018,4,7,36.364,no
2016-2017,9,4,69.231,no
2015-2016,10,4,71.429,no
2014-2015,7,5,58.333,no
2013-2014,4,8,33.333,no
2012-2013,11,2,84.615,no
2011-2012,7,6,53.846,no
2010-2011,8,5,61.538,no
2009-2010,13,1,92.857,no
2008-2009,13,1,92.857,yes
2007-2008,9,4,69.231,no
2006-2007,13,1,92.857,yes
2005-2006,9,3,75.0,no
2004-2005,7,5,58.333,no
2003-2004,8,5,61.538,no
2002-2003,8,5,61.538,no
2001-2002,10,2,83.333,no
2000-2001,10,3,76.923,no
1999-2000,9,4,69.231,no
1998-1999,10,2,83.333,no
1997-1998,10,2,83.333,no
1996-1997,12,1,92.308,yes
1995-1996,12,1,92.308,no
1994-1995,10,2,83.333,no
1993-1994,11,2,84.615,no
1992-1993,9,4,69.231,no
1991-1992,10,2,83.333,no
1990-1991,9,2,81.818,no
1989-1990,7,5,58.333,no
1988-1989,7,5,58.333,no
1987-1988,6,6,50.0,no
1986-1987,6,5,54.545,no
1985-1986,9,1,90.0,no
1984-1985,9,1,90.0,no
1983-1984,9,2,81.818,no
1982-1983,8,4,66.667,no
1981-1982,7,5,58.333,no
1980-1981,8,4,66.667,no
1979-1980,0,10,0.0,no
1978-1979,4,7,36.364,no
1977-1978,6,4,60.0,no
1976-1977,8,4,66.667,no
1975-1976,9,3,75.0,no
1974-1975,8,4,66.667,no
1973-1974,7,5,58.333,no
1972-1973,5,5,50.0,no
1971-1972,4,7,36.364,no
1970-1971,7,4,63.636,no
1969-1970,9,1,90.0,no
1968-1969,6,3,66.667,no
1967-1968,6,4,60.0,no
1966-1967,9,2,81.818,no
1965-1966,7,4,63.636,no
1964-1965,7,3,70.0,no
1963-1964,6,3,66.667,no
1962-1963,7,4,63.636,no
1961-1962,4,5,44.444,no
1960-1961,9,2,81.818,no
1959-1960,5,4,55.556,no
1958-1959,6,4,60.0,no
1957-1958,6,2,75.0,no
1956-1957,6,3,66.667,no
1955-1956,4,6,40.0,no
1954-1955,5,5,50.0,no
1953-1954,3,5,37.5,no
1952-1953,8,3,72.727,no
1951-1952,5,5,50.0,no
1950-1951,5,5,50.0,no
1949-1950,4,5,44.444,no
1948-1949,5,5,50.0,no
1947-1948,4,5,44.444,no
1946-1947,0,9,0.0,no
1945-1946,4,5,44.444,no
1944-1945,4,3,57.143,no
1942-1943,3,7,30.0,no
1941-1942,4,6,40.0,no
1940-1941,5,5,50.0,no
1939-1940,5,5,50.0,no
1938-1939,4,6,40.0,no
1937-1938,4,7,36.364,no
1936-1937,4,6,40.0,no
1935-1936,3,7,30.0,no
1934-1935,6,3,66.667,no
1933-1934,5,3,62.5,no
1932-1933,3,6,33.333,no
1931-1932,2,6,25.0,no
1930-1931,6,3,66.667,no
1929-1930,8,2,80.0,no
1928-1929,8,1,88.889,no
1927-1928,7,3,70.0,no
1926-1927,2,6,25.0,no
1925-1926,8,2,80.0,no
