year,wins,losses,win_loss_pct,national_championship
2025-2026,6.0,7.0,46.154,no
2024-2025,4.0,8.0,33.333,no
2023-2024,6.0,5.0,54.545,no
2022-2023,2.0,14.0,12.500,no
2021-2022,4.0,12.0,25.0,no
2020-2021,6.0,8.0,42.857,no
2019-2020,11.0,9.0,52.380,no
2018-2019,7.0,10.0,41.176,no
2017-2018,17.0,7.0,70.833,no
2016-2017,17.0,5.0,77.273,no
2015-2016,19.0,4.0,82.609,no
2014-2015,17.0,4.0,80.952,no
2013-2014,15.0,3.0,83.333,no
2012-2013,19.0,5.0,79.167,no
2011-2012,17.0,8.0,68.0,no
2010-2011,19.0,2.0,90.476,no
2009-2010,16.0,6.0,72.727,no
2008-2009,19.0,4.0,82.609,no
2007-2008,17.0,5.0,77.273,no
2006-2007,14.0,6.0,70.0,no
2005-2006,13.0,6.0,68.421,no
2004-2005,16.0,4.0,80.0,no
2003-2004,19.0,4.0,82.609,no
2002-2003,10.0,10.0,50.0,no
2001-2002,21.0,4.0,84.0,no
2000-2001,16.0,8.0,66.667,no
1999-2000,21.0,2.0,91.304,no
1998-1999,26.0,1.0,96.296,yes
1997-1998,20.0,3.0,86.957,no
1996-1997,22.0,3.0,88.0,no
1995-1996,14.0,4.0,77.778,no
