year,wins,losses,win_loss_pct,national_championship
2025-2026,48,17,73.846,no
2024-2025,54,15,78.261,no
2023-2024,38,22,63.333,no
2022-2023,49,19,72.059,no
2021-2022,45,11,80.357,no
2020-2021,23,4,85.185,no
2019-2020,49,18,73.134,no
2018-2019,56,11,83.582,no
2017-2018,58,10,85.294,no
2016-2017,56,7,88.889,no
2015-2016,60,7,89.552,yes
2014-2015,55,12,82.09,yes
2013-2014,58,9,86.567,no
2012-2013,48,13,78.689,no
2011-2012,56,13,81.159,no
2010-2011,49,10,83.051,no
2009-2010,63,5,92.647,no
2008-2009,70,5,93.333,no
2007-2008,50,20,71.429,no
2006-2007,43,25,63.235,no
2005-2006,41,23,64.062,no
2004-2005,41,20,67.213,no
2003-2004,41,25,62.121,no
2002-2003,32,35,47.761,no
2001-2002,37,28,56.923,no
2000-2001,46,30,60.526,no
1999-2000,34,29,53.968,no
1998-1999,47,22,68.116,no
1997-1998,42,25,62.687,no
