year,wins,losses,win_loss_pct,national_championship
2025-2026,0,0,0.0,no
2024-2025,15,12,55.556,no
2023-2024,13,12,52.0,no
2022-2023,14,14,50.0,no
2021-2022,26,3,89.655,no
2020-2021,25,2,92.593,yes
2019-2020,15,3,83.333,no
2018-2019,25,4,86.207,no
2017-2018,19,10,65.517,no
2016-2017,19,10,65.517,no
2015-2016,21,7,75.0,no
2014-2015,14,9,60.87,no
2013-2014,17,10,62.963,no
2012-2013,15,11,57.692,no
2011-2012,16,10,61.538,no
2010-2011,20,9,68.966,no
2009-2010,21,5,80.769,no
2008-2009,18,9,66.667,no
2007-2008,17,8,68.0,no
2006-2007,15,8,65.217,no
2005-2006,17,8,68.0,no
2004-2005,24,6,80.0,no
2003-2004,18,7,72.0,no
2002-2003,25,5,83.333,no
2001-2002,18,7,72.0,no
2000-2001,9,17,34.615,no
1999-2000,25,3,89.286,no
1998-1999,31,2,93.939,no
1997-1998,27,0,100.0,no
1996-1997,31,1,96.875,no
1995-1996,16,9,64.0,no
1994-1995,18,11,62.069,no
1993-1994,19,7,73.077,no
1992-1993,16,12,57.143,no
1991-1992,15,11,57.692,no
1990-1991,19,8,70.37,no
1989-1990,17,9,65.385,no
1988-1989,14,11,56.0,no
1987-1988,3,20,13.043,no
1986-1987,16,8,66.667,no
1985-1986,19,10,65.517,no
1984-1985,16,11,59.259,no
1983-1984,17,10,62.963,no
1982-1983,14,10,58.333,no
1981-1982,20,7,74.074,no
1980-1981,23,6,79.31,no
1979-1980,15,9,62.5,no
1978-1979,17,9,65.385,no
1977-1978,22,4,84.615,no
1976-1977,21,3,87.5,no
1975-1976,18,2,90.0,no
1974-1975,25,2,92.593,no
1973-1974,20,3,86.957,no
1972-1973,20,6,76.923,no
1971-1972,13,11,54.167,no
1970-1971,11,12,47.826,no
1969-1970,14,8,63.636,no
1968-1969,19,1,95.0,no
1967-1968,23,1,95.833,no
1966-1967,19,1,95.0,no
1965-1966,18,14,56.25,no
1964-1965,9,9,50.0,no
1963-1964,11,4,73.333,no
1962-1963,11,4,73.333,no
1961-1962,15,5,75.0,no
1960-1961,20,1,95.238,no
1959-1960,18,2,90.0,no
1958-1959,9,9,50.0,no
1957-1958,12,7,63.158,no
1956-1957,18,3,85.714,no
1955-1956,15,3,83.333,no
1954-1955,16,1,94.118,no
1953-1954,14,3,82.353,no
1952-1953,15,3,83.333,no
1951-1952,13,4,76.471,no
1950-1951,16,7,69.565,no
1949-1950,21,1,95.455,no
1948-1949,14,5,73.684,no
1947-1948,9,6,60.0,no
1946-1947,3,5,37.5,no
1945-1946,0,0,0.0,no
1944-1945,0,0,0.0,no
1943-1944,0,0,0.0,no
1942-1943,0,0,0.0,no
1941-1942,0,0,0.0,no
1940-1941,10,2,83.333,no
1939-1940,11,4,73.333,no
1938-1939,6,0,100.0,no
1937-1938,6,0,100.0,no
1936-1937,6,0,100.0,no
1935-1936,8,1,88.889,no
1934-1935,4,5,44.444,no
1933-1934,5,2,71.429,no
1932-1933,4,0,100.0,no
1931-1932,4,0,100.0,no
