no. pos. nation player 0 gk  dom paloma peña 1 gk  usa jayden emmanuel 2 mf  usa elyse campbell 3 fw  usa tatum o'coyne 4 fw  usa megan hinnenkamp 5 gk  usa alexa goldberg 6 df  usa avery upton 7 df  usa lauren mccloskey 8 fw  usa charlotte mcclure 9 df  usa josie curtis 10 mf  usa madison jones 11 fw  usa sophie white 12 fw  usa ryleigh acosta 13 fw  swe vera blom 14 df  usa njeri butts 15 mf  usa lauren donovan 16 df  usa emilee hauser,no. pos. nation player 17 fw  usa delaney tellex 18 fw  swe liwa nilsson 19 mf  usa kaela standish 20 df  usa anna deleon 21 df  usa madison young 22 mf  usa oakley rasmussen 23 df  usa daviana vaka 24 mf  usa lucy froitzheim 25 mf  usa delaney tauzel 27 mf  usa norah abbott 28 mf  usa emma duval 29 fw  usa lena bailey 30 fw  usa amelia malkin 31 gk  usa paris bice 32 fw  usa zamiyah hill 33 df  usa skye barnes,unnamed: 2,unnamed: 3
No.,Pos.,Nation,Player
0,GK,DOM,Paloma Peña
1,GK,USA,Jayden Emmanuel
2,MF,USA,Elyse Campbell
3,FW,USA,Tatum O'Coyne
4,FW,USA,Megan Hinnenkamp
5,GK,USA,Alexa Goldberg
6,DF,USA,Avery Upton
7,DF,USA,Lauren McCloskey
8,FW,USA,Charlotte McClure
9,DF,USA,Josie Curtis
10,MF,USA,Madison Jones
11,FW,USA,Sophie White
12,FW,USA,Ryleigh Acosta
13,FW,SWE,Vera Blom
14,DF,USA,Njeri Butts
15,MF,USA,Lauren Donovan
16,DF,USA,Emilee Hauser
No.,Pos.,Nation,Player
17,FW,USA,Delaney Tellex
18,FW,SWE,Liwa Nilsson
19,MF,USA,Kaela Standish
20,DF,USA,Anna DeLeon
21,DF,USA,Madison Young
22,MF,USA,Oakley Rasmussen
23,DF,USA,Daviana Vaka
24,MF,USA,Lucy Froitzheim
25,MF,USA,Delaney Tauzel
27,MF,USA,Norah Abbott
28,MF,USA,Emma Duval
29,FW,USA,Lena Bailey
30,FW,USA,Amelia Malkin
31,GK,USA,Paris Bice
32,FW,USA,Zamiyah Hill
33,DF,USA,Skye Barnes
