season,overall record,sec record,national,sec season,sec tournament
1931–32,4–0,–,–,–,–
1932–33,4–0,–,–,–,–
1933–34,5–2,–,–,–,–
1934–35,4–5,–,–,–,–
1935–36,8–1,–,–,–,–
1936–37,6–0,–,–,–,–
1937–38,6–0,–,–,–,–
1938–39,6–0,–,–,–,–
1939–40,11–4,–,–,–,–
1940–41,10–2–1,–,–,–,–
1946–47,3–5–1,–,–,3rd,–
1947–48,9–6,–,–,–,–
1948–49,14–5–1,–,–,4th,–
1949–50,21–1,–,–,1st,–
1950–51,16–7,–,–,4th,–
1951–52,13–4,–,–,–,–
1952–53,15–3,–,–,T2nd,–
1953–54,14–3–1,–,–,4th,–
1954–55,16–1,–,–,2nd,–
1955–56,15–3,–,–,3rd,–
1956–57,18–3,–,–,3rd,–
1957–58,12–7,–,–,6th,–
1958–59,9–9,–,–,5th,–
1959–60,18–2,–,–,3rd,–
1960–61,20–1,–,–,1st,–
1961–62,15–5,–,–,T3rd,–
1962–63,11–4,–,18th,5th,–
1963–64,11–4,–,–,6th,–
1964–65,9–9,–,–,5th,–
1965–66,18–14,–,–,5th,–
1966–67,19–1–1,–,5th,3rd,–
1967–68,23–1,–,6th,1st,–
1968–69,19–1–1,–,6th,1st,–
1969–70,14–8,–,–,4th,–
1970–71,11–12,–,–,4th,–
1971–72,13–11,–,18th,5th,–
1972–73,20–6,–,22nd,3rd,–
1973–74,20–3,–,T13th,5th,–
1974–75,25–2,–,T8th,T1st,–
1975–76,18–2,–,16th,3rd,–
1976–77,21–3,–,–,4th,–
1977–78,22–4,–,–,5th,–
1978–79,17–9,–,–,T5th,–
1979–80,15–9–1,–,–,6th,–
1980–81,23–6,–,–,5th,–
1981–82,20–7,–,–,T3rd,–
1982–83,14–10,–,–,T8th,–
1983–84,17–10,–,–,T6th,–
1984–85,16–11,–,–,5th,–
1985–86,19–10,–,–,T7th,–
1986–87,16–8,–,–,4th,–
1987–88,3–20,–,–,T6th,–
1988–89,14–11,–,–,9th,–
1989–90,17–9,–,-,7th,–
1990–91,19–8,–,T5th,T3rd,–
1991–92,15–11,–,T9th,5th,–
1992–93,16–12,–,T9th,5th,–
1993–94,19–7,–,T9th,1st,1st
1994–95,18–11,–,T9th,5th,–
1995–96,16–9,–,T17th,5th,–
1996–97,31–1,–,T9th,5th,–
1997–98,27–0,–,T25th,T6th,–
1998–99,31–2,–,T5th,T3rd,–
1999–2000,25–3,10–1,T3rd,1st,1st
2000–01,9–17,3–8,T10th,3rd,–
2001–02,18–7,7–4,T9th,T3rd,2nd
2002–03,25–5,11–0,T5th,1st,–
2003–04,18–7,8–3,T9th,2nd,–
2004–05,24–6,10–1,T3rd,T1st,1st
2005–06,17–8,8–3,T9th,T2nd,–
2006–07,15–8,7–4,T9th,T3rd,–
2007–08,17–8,8–3,T9th,4th,2nd
2008–09,18–9,7–4,T17th,T4th,–
2009–10,21–5,9–1,T9th,2nd,2nd
2010–11,20–9,7–4,T9th,5th,1st
2011–12,16–10,7–4,T9th,4th,–
2012–13,15–11,7–5,T33rd,T3rd,–
2013–14,17–10,8–4,15th,4th,2nd
2014–15,14–9,8–4,T33rd,T4th,T5th
2015–16,21–7,10–2,T5th,2nd,1st
2016–17,19-10,9–3,T9th,3rd,T3rd
2017–18,19-10,9-3,T8th,3rd,T3rd
2018–19,25-4,12-0,T4th,1st,T3rd
2019–20,15-3,3-1,,N/A (COVID),–
2020–21,25-2,12-0,1st,1st,2nd
2021–22,26-3,12-0,1st,2nd,1st
