year,head coach,overall record,conference  record,conference  standing,postseason,unnamed: 6,unnamed: 7,unnamed: 8
(Southeastern Conference) (1984–present),(Southeastern Conference) (1984–present),(Southeastern Conference) (1984–present),(Southeastern Conference) (1984–present),(Southeastern Conference) (1984–present),(Southeastern Conference) (1984–present),(Southeastern Conference) (1984–present),(Southeastern Conference) (1984–present),(Southeastern Conference) (1984–present)
1984,Marilyn McReavy,16–16,1–5,5th,–,,,
1985,Marilyn McReavy,33–13,4–2,3rd,–,,,
1986,Marilyn McReavy,15–23,4–2,3rd,–,,,
1987,Marilyn McReavy,37–6,5–2,3rd,NCAA Regional semifinal,,,
1988,Marilyn McReavy,23–14,5–2,2nd,–,,,
1989,Marilyn McReavy,17–12,3–5,6th,–,,,
1990,Marilyn McReavy,15–16,4–4,3rd,–,,,
1991,Mary Wise,35–5,13–1,1st,NCAA Regional Final,,,
1992,Mary Wise,34–2,14–0,1st,NCAA Final Four,,,
1993,Mary Wise,33–4,14–0,1st,NCAA Final Four,,,
1994,Mary Wise,28–6,13–1,1st,NCAA Regional semifinal,,,
1995,Mary Wise,35–2,14–0,1st,NCAA Regional Final,,,
1996,Mary Wise,37–2,14–0,1st,NCAA Final Four,,,
1997,Mary Wise,34–4,14–0,1st,NCAA Final Four,,,
1998,Mary Wise,35–3,14–0,1st,NCAA Final Four,,,
1999,Mary Wise,33–3,14–0,1st,NCAA Regional Final,,,
2000,Mary Wise,29–5,14–0,1st,NCAA Regional semifinal,,,
2001,Mary Wise,28–2,14–0,1st,NCAA Regional Final,,,
2002,Mary Wise,34–3,16–0,1st,NCAA Final Four,,,
2003,Mary Wise,36–2,16–0,1st,NCAA Runners-Up,,,
2004,Mary Wise,28–5,15–1,1st,NCAA Second Round,,,
2005,Mary Wise,33–3,15–1,1st,NCAA Regional Final,,,
2006,Mary Wise,30–3,19–1,1st,NCAA Regional Final,,,
2007,Mary Wise,29–3,19–1,1st,NCAA Regional semifinal,,,
2008,Mary Wise,27–4,18–2,1st,NCAA Regional semifinal,,,
2009,Mary Wise,26-7,16–4,3rd,NCAA Regional semifinal,,,
2010,Mary Wise,29–2,20–0,1st,NCAA Regional semifinal,,,
2011,Mary Wise,27–6,17–3,2nd,NCAA Regional Final,,,
2012,Mary Wise,27–5,19–1,1st,NCAA Regional semifinal,,,
2013,Mary Wise,28–4,16–2,2nd,NCAA Second Round,,,
2014,Mary Wise,28–4,18–0,1st,NCAA Regional Final,,,
2015,Mary Wise,25–7,13–5,4th,NCAA Regional Final,,,
2016,Mary Wise,27–4,16–2,1st,NCAA Second Round,,,
2017,Mary Wise,30–2,17–1,1st,NCAA Runners-Up,,,
2018,Mary Wise,26–7,15–3,3rd,NCAA Regional semifinal,,,
2019,Mary Wise,27–5,16–2,1st,NCAA Regional semifinal,,,
2020,Mary Wise,21–4,19–3,2nd,NCAA Regional Final,,,
2021,Mary Wise,22–9,14–4,3rd,NCAA Regional Semifinal,,,
2022,Mary Wise,25–6,15–3,1st,NCAA Regional Semifinal,,,
2023,Mary Wise,19–10,10–8,5th,NCAA Second Round,,,
2024,Mary Wise,23–8,11–5,3rd,NCAA Regional Semifinal,,,
2025,Ryan Theis,15–11,9–6,5th,,,,
Total,,1159–262,557–82,,,,,
