year,wins,losses,win_loss_pct,national_championship
2025-2026,0,0,0.0,no
2024-2025,39.0,22.0,63.934,no
2023-2024,36.0,30.0,54.545,no
2022-2023,54.0,17.0,76.056,no
2021-2022,42.0,24.0,63.636,no
2020-2021,38.0,22.0,63.333,no
2019-2020,16.0,1.0,94.118,no
2018-2019,34.0,26.0,56.667,no
2017-2018,49.0,21.0,70.0,no
2016-2017,52.0,19.0,73.239,yes
2015-2016,52.0,16.0,76.471,no
2014-2015,52.0,18.0,74.286,no
2013-2014,40.0,23.0,63.492,no
2012-2013,29.0,30.0,49.153,no
2011-2012,47.0,20.0,70.149,no
2010-2011,53.0,19.0,73.611,no
2009-2010,47.0,17.0,73.438,no
2008-2009,42.0,22.0,65.625,no
2007-2008,34.0,24.0,58.621,no
2006-2007,29.0,30.0,49.153,no
2005-2006,28.0,28.0,50.0,no
2004-2005,48.0,23.0,67.606,no
2003-2004,43.0,22.0,66.154,no
2002-2003,37.0,21.0,63.793,no
2001-2002,46.0,19.0,70.769,no
2000-2001,35.0,27.0,56.452,no
1999-2000,44.0,23.0,65.672,no
1998-1999,31.0,25.0,55.357,no
1997-1998,46.0,18.0,71.875,no
1996-1997,40.0,24.0,62.5,no
1995-1996,50.0,18.0,73.529,no
1994-1995,32.0,24.0,57.143,no
1993-1994,40.0,23.0,63.492,no
1992-1993,33.0,25.0,56.897,no
1991-1992,44.0,20.0,68.75,no
1990-1991,51.0,21.0,70.833,no
1989-1990,29.0,30.0,49.153,no
1988-1989,44.0,22.0,66.667,no
1987-1988,48.0,19.0,71.642,no
1986-1987,32.0,24.0,57.143,no
1985-1986,27.0,26.0,50.943,no
1984-1985,43.0,18.0,70.492,no
1983-1984,43.0,16.0,72.881,no
1982-1983,38.0,14.0,73.077,no
1981-1982,34.0,25.0,57.627,no
1980-1981,42.0,17.0,71.186,no
1979-1980,40.0,16.0,71.429,no
1978-1979,40.0,20.0,66.667,no
1977-1978,34.0,15.0,69.388,no
1976-1977,39.0,18.0,68.421,no
1975-1976,21.0,27.0,43.75,no
1974-1975,23.0,25.0,47.917,no
1973-1974,23.0,20.0,53.488,no
1972-1973,23.0,21.0,52.273,no
1971-1972,23.0,21.0,52.273,no
1970-1971,19.0,26.0,42.222,no
1969-1970,27.0,17.0,61.364,no
1968-1969,28.0,16.0,63.636,no
1967-1968,25.0,13.0,65.789,no
1966-1967,28.0,8.0,77.778,no
1965-1966,23.0,12.0,65.714,no
1964-1965,20.0,13.0,60.606,no
1963-1964,30.0,9.0,76.923,no
1962-1963,25.0,10.0,71.429,no
1961-1962,25.0,10.0,71.429,no
1960-1961,19.0,9.0,67.857,no
1959-1960,18.0,14.0,56.25,no
1958-1959,13.0,8.0,61.905,no
1957-1958,17.0,7.0,70.833,no
1956-1957,13.0,11.0,54.167,no
1955-1956,20.0,4.0,83.333,no
1954-1955,8.0,12.0,40.0,no
1953-1954,12.0,10.0,54.545,no
1952-1953,13.0,7.0,65.0,no
1951-1952,21.0,4.0,84.0,no
1950-1951,16.0,9.0,64.0,no
1949-1950,20.0,9.0,68.966,no
1948-1949,17.0,13.0,56.667,no
1947-1948,10.0,14.0,41.667,no
1946-1947,14.0,15.0,48.276,no
1945-1946,4.0,17.0,19.048,no
1944-1945,2.0,9.0,18.182,no
1943-1944,0,0,0.0,no
1942-1943,0,0,0.0,no
1941-1942,6.0,6.0,50.0,no
1940-1941,8.0,7.0,53.333,no
1939-1940,8.0,11.0,42.105,no
1938-1939,11.0,8.0,57.895,no
1937-1938,14.0,9.0,60.87,no
1936-1937,10.0,7.0,58.824,no
1935-1936,7.0,9.0,43.75,no
1934-1935,7.0,13.0,35.0,no
1933-1934,6.0,7.0,46.154,no
1932-1933,11.0,2.0,84.615,no
1931-1932,12.0,8.0,60.0,no
1930-1931,11.0,10.0,52.381,no
1929-1930,9.0,8.0,52.941,no
1928-1929,4.0,9.0,30.769,no
1927-1928,6.0,14.0,30.0,no
1926-1927,8.0,14.0,36.364,no
1925-1926,14.0,7.0,66.667,no
