year,wins,losses,win_loss_pct,national_championship
2025-2026,5.0,3.0,62.5,no
2024-2025,36.0,4.0,90.0,yes
2023-2024,24.0,12.0,66.667,no
2022-2023,16.0,17.0,48.485,no
2021-2022,20.0,14.0,58.824,no
2020-2021,15.0,10.0,60.0,no
2019-2020,19.0,12.0,61.29,no
2018-2019,20.0,16.0,55.556,no
2017-2018,21.0,13.0,61.765,no
2016-2017,27.0,9.0,75.0,no
2015-2016,21.0,15.0,58.333,no
2014-2015,16.0,17.0,48.485,no
2013-2014,36.0,3.0,92.308,no
2012-2013,29.0,8.0,78.378,no
2011-2012,26.0,11.0,70.27,no
2010-2011,29.0,8.0,78.378,no
2009-2010,21.0,13.0,61.765,no
2008-2009,25.0,11.0,69.444,no
2007-2008,24.0,12.0,66.667,no
2006-2007,35.0,5.0,87.5,yes
2005-2006,33.0,6.0,84.615,yes
2004-2005,24.0,8.0,75.0,no
2003-2004,20.0,11.0,64.516,no
2002-2003,25.0,8.0,75.758,no
2001-2002,22.0,9.0,70.968,no
2000-2001,24.0,7.0,77.419,no
1999-2000,29.0,8.0,78.378,no
1998-1999,22.0,9.0,70.968,no
1997-1998,14.0,15.0,48.276,no
1996-1997,13.0,17.0,43.333,no
1995-1996,12.0,16.0,42.857,no
1994-1995,17.0,13.0,56.667,no
1993-1994,29.0,8.0,78.378,no
1992-1993,16.0,12.0,57.143,no
1991-1992,19.0,14.0,57.576,no
1990-1991,11.0,17.0,39.286,no
1989-1990,7.0,21.0,25.0,no
1988-1989,21.0,13.0,61.765,no
1987-1988,23.0,12.0,65.714,no
1986-1987,23.0,11.0,67.647,no
1985-1986,19.0,14.0,57.576,no
1984-1985,18.0,12.0,60.0,no
1983-1984,16.0,13.0,55.172,no
1982-1983,13.0,18.0,41.935,no
1981-1982,5.0,22.0,18.519,no
1980-1981,12.0,16.0,42.857,no
1979-1980,7.0,21.0,25.0,no
1978-1979,8.0,19.0,29.63,no
1977-1978,15.0,12.0,55.556,no
1976-1977,17.0,9.0,65.385,no
1975-1976,12.0,14.0,46.154,no
1974-1975,12.0,16.0,42.857,no
1973-1974,15.0,11.0,57.692,no
1972-1973,11.0,15.0,42.308,no
1971-1972,10.0,15.0,40.0,no
1970-1971,11.0,15.0,42.308,no
1969-1970,9.0,17.0,34.615,no
1968-1969,18.0,9.0,66.667,no
1967-1968,15.0,10.0,60.0,no
1966-1967,21.0,4.0,84.0,no
1965-1966,16.0,10.0,61.538,no
1964-1965,18.0,7.0,72.0,no
1963-1964,12.0,10.0,54.545,no
1962-1963,12.0,14.0,46.154,no
1961-1962,12.0,11.0,52.174,no
1960-1961,15.0,11.0,57.692,no
1959-1960,6.0,16.0,27.273,no
1958-1959,8.0,15.0,34.783,no
1957-1958,12.0,9.0,57.143,no
1956-1957,14.0,10.0,58.333,no
1955-1956,11.0,12.0,47.826,no
1954-1955,12.0,10.0,54.545,no
1953-1954,7.0,15.0,31.818,no
1952-1953,13.0,6.0,68.421,no
1951-1952,15.0,9.0,62.5,no
1950-1951,11.0,12.0,47.826,no
1949-1950,9.0,14.0,39.13,no
1948-1949,11.0,16.0,40.741,no
1947-1948,15.0,10.0,60.0,no
1946-1947,17.0,9.0,65.385,no
1945-1946,7.0,14.0,33.333,no
1944-1945,7.0,12.0,36.842,no
1943-1944,0,0,0.0,no
1942-1943,8.0,7.0,53.333,no
1941-1942,8.0,9.0,47.059,no
1940-1941,15.0,9.0,62.5,no
1939-1940,13.0,9.0,59.091,no
1938-1939,9.0,6.0,60.0,no
1937-1938,11.0,9.0,55.0,no
1936-1937,5.0,13.0,27.778,no
1935-1936,5.0,10.0,33.333,no
1934-1935,8.0,7.0,53.333,no
1933-1934,11.0,7.0,61.111,no
1932-1933,9.0,5.0,64.286,no
1931-1932,8.0,12.0,40.0,no
1930-1931,10.0,9.0,52.632,no
1929-1930,10.0,4.0,71.429,no
1928-1929,7.0,13.0,35.0,no
1927-1928,5.0,16.0,23.81,no
1926-1927,6.0,20.0,23.077,no
1925-1926,7.0,7.0,50.0,no
