rk,season,conf,w,l,w-l%,w,l,w-l%,srs,sos,ps/g,pa/g,ap pre,ap high,ap final,ncaa tournament,seed,coach(es)
1,2025-26,SEC,5,3,.625,,,,23.13,11.63,83.4,71.9,3,3,,,,Todd Golden (5-3)
2,2024-25,SEC,36,4,.900,14,4,.778,27.78,12.60,84.8,69.6,21,1,1,Won NCAA Tournament National Final,1,Todd Golden (36-4)
3,2023-24,SEC,24,12,.667,11,7,.611,15.17,8.81,85.6,79.2,,24,,Lost NCAA Tournament First Round,7,Todd Golden (24-12)
4,2022-23,SEC,16,17,.485,9,9,.500,10.90,8.26,71.2,68.6,,,,,,Todd Golden (16-17)
5,2021-22,SEC,20,14,.588,9,9,.500,11.93,7.84,70.6,66.5,,14,,,,"Al Pinkins (1-1), Michael White (19-13)"
6,2020-21,SEC,15,10,.600,9,7,.563,13.70,9.82,74.2,70.3,,22,,Lost NCAA Tournament Second Round,7,Michael White (15-10)
7,2019-20,SEC,19,12,.613,11,7,.611,14.94,9.10,71.9,66.0,6,6,,,,Michael White (19-12)
8,2018-19,SEC,20,16,.556,9,9,.500,15.42,11.22,67.8,63.6,,,,Lost NCAA Tournament Second Round,10,Michael White (20-16)
9,2017-18,SEC,21,13,.618,11,7,.611,16.66,10.08,75.8,69.2,8,5,23,Lost NCAA Tournament Second Round,6,Michael White (21-13)
10,2016-17,SEC,27,9,.750,14,4,.778,22.40,11.01,77.9,66.5,,12,20,Lost NCAA Tournament Regional Final,4,Michael White (27-9)
11,2015-16,SEC,21,15,.583,9,9,.500,14.69,9.19,74.4,68.9,,,,,,Michael White (21-15)
12,2014-15,SEC,16,17,.485,8,10,.444,13.27,9.67,63.7,60.1,7,7,,,,Billy Donovan (16-17)
13,2013-14,SEC,36,3,.923,18,0,1.000,20.69,8.54,69.9,57.8,10,1,1,Lost NCAA Tournament National Semifinal,1,Billy Donovan (36-3)
14,2012-13,SEC,29,8,.784,14,4,.778,23.88,6.85,71.4,54.4,10,2,14,Lost NCAA Tournament Regional Final,3,Billy Donovan (29-8)
