year,wins,losses,win_loss_pct,national_championship
2025-2026,15,11.0,57.692,no
2024-2025,23,8.0,74.194,no
2023-2024,19,10.0,65.517,no
2022-2023,25,6.0,80.645,no
2021-2022,22,9.0,70.968,no
2020-2021,21,4.0,84.0,no
2019-2020,27,5.0,84.375,no
2018-2019,26,7.0,78.788,no
2017-2018,30,2.0,93.75,no
2016-2017,27,4.0,87.097,no
2015-2016,25,7.0,78.125,no
2014-2015,28,4.0,87.5,no
2013-2014,28,4.0,87.5,no
2012-2013,27,5.0,84.375,no
2011-2012,27,6.0,81.818,no
2010-2011,29,2.0,93.548,no
2009-2010,26,7.0,78.788,no
2008-2009,27,4.0,87.097,no
2007-2008,29,3.0,90.625,no
2006-2007,30,3.0,90.909,no
2005-2006,33,3.0,91.667,no
2004-2005,28,5.0,84.848,no
2003-2004,36,2.0,94.737,no
2002-2003,34,3.0,91.892,no
2001-2002,28,2.0,93.333,no
2000-2001,29,5.0,85.294,no
1999-2000,33,3.0,91.667,no
1998-1999,35,3.0,92.105,no
1997-1998,34,4.0,89.474,no
1996-1997,37,2.0,94.872,no
1995-1996,35,2.0,94.595,no
1994-1995,28,6.0,82.353,no
1993-1994,33,4.0,89.189,no
1992-1993,34,2.0,94.444,no
1991-1992,35,5.0,87.5,no
1990-1991,15,16.0,48.387,no
1989-1990,17,12.0,58.621,no
1988-1989,23,14.0,62.162,no
1987-1988,37,6.0,86.047,no
1986-1987,15,23.0,39.474,no
1985-1986,33,13.0,71.739,no
1984-1985,16,16.0,50.0,no
