season,league,conference,division,head coach,wins,losses,ties,ncaa tournament result,nan,nan,nan,nan,nan,nan,nan,nan
Florida Gators,Florida Gators,Florida Gators,Florida Gators,Florida Gators,Florida Gators,Florida Gators,Florida Gators,Florida Gators,Florida Gators,Florida Gators,Florida Gators,Florida Gators,Florida Gators,Florida Gators,Florida Gators,Florida Gators
1912,NCAA,SIAA,,H. D. McLeod,9,4,2,,,,,,,,,
1913,NCAA,SIAA,,R. P. Hoffman,11,9,1,,,,,,,,,
1914,NCAA,SIAA,,Pat Flaherty,2,8,0,,,,,,,,,
1915,NCAA,SIAA,,Pat Flaherty,4,6,1,,,,,,,,,
1916,NCAA,SIAA,,Pat Flaherty,9,14,0,,,,,,,,,
1917,NCAA,SIAA,,Hugh Wicher,8,3,0,,,,,,,,,
1918,No games played,No games played,No games played,No games played,No games played,No games played,No games played,No games played,,,,,,,,
1919,NCAA,SIAA,,Artie Phelan,7,5,0,,,,,,,,,
1920,NCAA,SIAA,,Artie Phelan,7,11,1,,,,,,,,,
1921,NCAA,SIAA,,William G. Kline,4,10,0,,,,,,,,,
1922,NCAA,SoCon,,Lance Richbourg,15,5,0,,,,,,,,,
1923,NCAA,SoCon,,Lance Richbourg,10,9,0,,,,,,,,,
1924,NCAA,SoCon,,Rex Farrior,5,14,0,,,,,,,,,
1925,NCAA,SoCon,,James White,3,6,0,,,,,,,,,
1926,NCAA,SoCon,,Lance Richbourg,14,7,0,,,,,,,,,
1927,NCAA,SoCon,,Brady Cowell,8,14,0,,,,,,,,,
1928,NCAA,SoCon,,Brady Cowell,6,14,1,,,,,,,,,
1929,NCAA,SoCon,,Brady Cowell,4,9,0,,,,,,,,,
1930,NCAA,SoCon,,Brady Cowell,9,8,0,,,,,,,,,
1931,NCAA,SoCon,,Brady Cowell,11,10,0,,,,,,,,,
1932,NCAA,SoCon,,Brady Cowell,12,8,0,,,,,,,,,
1933,NCAA,SEC,,Brady Cowell,11,2,1,,,,,,,,,
1934,NCAA,SEC,,Ben Clemons,6,7,0,,,,,,,,,
1935,NCAA,SEC,,Ben Clemons,7,13,1,,,,,,,,,
1936,NCAA,SEC,,Ben Clemons,7,9,0,,,,,,,,,
1937,NCAA,SEC,,Lew Hardage,10,7,1,,,,,,,,,
1938,NCAA,SEC,,Lew Hardage,14,9,0,,,,,,,,,
1939,NCAA,SEC,,Lew Hardage,11,8,0,,,,,,,,,
1940,NCAA,SEC,,Sam J. McAllister,8,11,2,,,,,,,,,
1941,NCAA,SEC,,Sam J. McAllister,8,7,0,,,,,,,,,
1942,NCAA,SEC,,Sam J. McAllister,6,6,0,,,,,,,,,
1943,No Games played due to World War II,No Games played due to World War II,No Games played due to World War II,No Games played due to World War II,No Games played due to World War II,No Games played due to World War II,No Games played due to World War II,No Games played due to World War II,,,,,,,,
1944,No Games played due to World War II,No Games played due to World War II,No Games played due to World War II,No Games played due to World War II,No Games played due to World War II,No Games played due to World War II,No Games played due to World War II,No Games played due to World War II,,,,,,,,
1945,NCAA,SEC,,Bob Pittman,2,9,0,,,,,,,,,
1946,NCAA,SEC,,Sam J. McAllister,4,17,2,,,,,,,,,
1947,NCAA,SEC,,Sam J. McAllister,14,15,0,,,,,,,,,
1948,NCAA,SEC,,Dave Fuller,10,14,1,,,,,,,,,
1949,NCAA,SEC,,Dave Fuller,17,13,0,,,,,,,,,
1950,NCAA,SEC,,Dave Fuller,20,9,0,,,,,,,,,
1951,NCAA,SEC,,Dave Fuller,16,9,0,,,,,,,,,
1952,NCAA,SEC,,Dave Fuller,21,4,2,,,,,,,,,
1953,NCAA,SEC,,Dave Fuller,13,7,1,,,,,,,,,
1954,NCAA,SEC,,Dave Fuller,12,10,0,,,,,,,,,
1955,NCAA,SEC,,Dave Fuller,8,12,0,,,,,,,,,
1956,NCAA,SEC,,Dave Fuller,20,4,0,,,,,,,,,
1957,NCAA,SEC,,Dave Fuller,13,11,0,,,,,,,,,
1958,NCAA,SEC,,Dave Fuller,17,7,0,2–2 in District 3,,,,,,,,
1959,NCAA,SEC,,Dave Fuller,13,8,0,,,,,,,,,
1960,NCAA,SEC,,Dave Fuller,18,14,0,2–2 in District 3,,,,,,,,
1961,NCAA,SEC,,Dave Fuller,19,9,0,,,,,,,,,
1962,NCAA,SEC,,Dave Fuller,25,10,1,1–3 in District 3,,,,,,,,
1963,NCAA,SEC,,Dave Fuller,25,10,1,,,,,,,,,
1964,NCAA,SEC,,Dave Fuller,30,9,0,,,,,,,,,
1965,NCAA,SEC,,Dave Fuller,20,13,0,,,,,,,,,
1966,NCAA,SEC,,Dave Fuller,23,12,0,,,,,,,,,
1967,NCAA,SEC,,Dave Fuller,28,8,0,,,,,,,,,
1968,NCAA,SEC,,Dave Fuller,25,13,0,,,,,,,,,
1969,NCAA,SEC,,Dave Fuller,28,16,0,,,,,,,,,
1970,NCAA,SEC,,Dave Fuller,27,17,0,,,,,,,,,
1971,NCAA,SEC,,Dave Fuller,19,26,0,,,,,,,,,
1972,NCAA,SEC,,Dave Fuller,23,21,0,,,,,,,,,
