year,wins,losses,win_loss_pct,national_championship
2025-2026,9,2,81.818,no
2024-2025,19,18,51.351,no
2023-2024,16,16,50.0,no
2022-2023,19,15,55.882,no
2021-2022,21,11,65.625,no
2020-2021,12,14,46.154,no
2019-2020,15,15,50.0,no
2018-2019,8,23,25.806,no
2017-2018,11,19,36.667,no
2016-2017,15,16,48.387,no
2015-2016,22,9,70.968,no
2014-2015,13,17,43.333,no
2013-2014,20,13,60.606,no
2012-2013,22,15,59.459,no
2011-2012,20,13,60.606,no
2010-2011,20,15,57.143,no
2009-2010,15,17,46.875,no
2008-2009,24,8,75.0,no
2007-2008,19,14,57.576,no
2006-2007,9,22,29.032,no
2005-2006,21,9,70.0,no
2004-2005,14,15,48.276,no
2003-2004,19,11,63.333,no
2002-2003,9,19,32.143,no
2001-2002,18,11,62.069,no
2000-2001,24,6,80.0,no
1999-2000,21,13,61.765,no
1998-1999,19,14,57.576,no
1997-1998,23,9,71.875,no
1996-1997,24,9,72.727,no
1995-1996,21,9,70.0,no
1994-1995,24,9,72.727,no
1993-1994,22,7,75.862,no
1992-1993,19,10,65.517,no
1991-1992,15,13,53.571,no
1990-1991,17,11,60.714,no
1989-1990,15,13,53.571,no
1988-1989,15,14,51.724,no
1987-1988,9,18,33.333,no
1986-1987,12,16,42.857,no
1985-1986,10,18,35.714,no
1984-1985,22,9,70.968,no
1983-1984,19,9,67.857,no
1982-1983,11,16,40.741,no
1981-1982,13,16,44.828,no
